AmpId	SequenceId	PositionInSequence	Length
primer_pair360_amp_1	KY996500.1_Wallabia_bicolor	2404	70
primer_pair360_amp_2	NC_000845.1_Sus_scrofa	3587	70
primer_pair360_amp_3	NC_006853.1_Bos_taurus	2771	70
primer_pair360_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2416	70
primer_pair360_amp_5	NC_011944.1_Thylacinus_cynocephalus	3343	70
primer_pair360_amp_6	NC_012920.1_Homo_sapiens	2977	70
primer_pair360_amp_7	NC_053523.1_Gallus_gallus	2473	70
primer_pair361_amp_1	KY996500.1_Wallabia_bicolor	2404	74
primer_pair361_amp_2	NC_000845.1_Sus_scrofa	3587	74
primer_pair361_amp_3	NC_006853.1_Bos_taurus	2771	74
primer_pair361_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2416	74
primer_pair361_amp_5	NC_011944.1_Thylacinus_cynocephalus	3343	74
primer_pair361_amp_6	NC_012920.1_Homo_sapiens	2977	74
primer_pair361_amp_7	NC_053523.1_Gallus_gallus	2473	74
primer_pair363_amp_1	KY996500.1_Wallabia_bicolor	2404	72
primer_pair363_amp_2	NC_000845.1_Sus_scrofa	3587	72
primer_pair363_amp_3	NC_006853.1_Bos_taurus	2771	72
primer_pair363_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2416	72
primer_pair363_amp_5	NC_011944.1_Thylacinus_cynocephalus	3343	72
primer_pair363_amp_6	NC_012920.1_Homo_sapiens	2977	72
primer_pair363_amp_7	NC_053523.1_Gallus_gallus	2473	72
primer_pair365_amp_1	KY996500.1_Wallabia_bicolor	2404	71
primer_pair365_amp_2	NC_000845.1_Sus_scrofa	3587	71
primer_pair365_amp_3	NC_006853.1_Bos_taurus	2771	71
primer_pair365_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2416	71
primer_pair365_amp_5	NC_011944.1_Thylacinus_cynocephalus	3343	71
primer_pair365_amp_6	NC_012920.1_Homo_sapiens	2977	71
primer_pair365_amp_7	NC_053523.1_Gallus_gallus	2473	71
primer_pair366_amp_1	KY996500.1_Wallabia_bicolor	2404	76
primer_pair366_amp_2	NC_000845.1_Sus_scrofa	3587	76
primer_pair366_amp_3	NC_006853.1_Bos_taurus	2771	76
primer_pair366_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2416	76
primer_pair366_amp_5	NC_011944.1_Thylacinus_cynocephalus	3343	76
primer_pair366_amp_6	NC_012920.1_Homo_sapiens	2977	76
primer_pair366_amp_7	NC_053523.1_Gallus_gallus	2473	76
primer_pair368_amp_1	KY996500.1_Wallabia_bicolor	2404	75
primer_pair368_amp_2	NC_000845.1_Sus_scrofa	3587	75
primer_pair368_amp_3	NC_006853.1_Bos_taurus	2771	75
primer_pair368_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2416	75
primer_pair368_amp_5	NC_011944.1_Thylacinus_cynocephalus	3343	75
primer_pair368_amp_6	NC_012920.1_Homo_sapiens	2977	75
primer_pair368_amp_7	NC_053523.1_Gallus_gallus	2473	75
primer_pair400_amp_1	KY996500.1_Wallabia_bicolor	2407	70
primer_pair400_amp_2	NC_000845.1_Sus_scrofa	3590	70
primer_pair400_amp_3	NC_006853.1_Bos_taurus	2774	70
primer_pair400_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2419	70
primer_pair400_amp_5	NC_011944.1_Thylacinus_cynocephalus	3346	70
primer_pair400_amp_6	NC_012920.1_Homo_sapiens	2980	70
primer_pair400_amp_7	NC_053523.1_Gallus_gallus	2476	70
primer_pair404_amp_1	KY996500.1_Wallabia_bicolor	2407	66
primer_pair404_amp_2	NC_000845.1_Sus_scrofa	3590	66
primer_pair404_amp_3	NC_006853.1_Bos_taurus	2774	66
primer_pair404_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2419	66
primer_pair404_amp_5	NC_011944.1_Thylacinus_cynocephalus	3346	66
primer_pair404_amp_6	NC_012920.1_Homo_sapiens	2980	66
primer_pair404_amp_7	NC_053523.1_Gallus_gallus	2476	66
primer_pair406_amp_1	KY996500.1_Wallabia_bicolor	2407	67
primer_pair406_amp_2	NC_000845.1_Sus_scrofa	3590	67
primer_pair406_amp_3	NC_006853.1_Bos_taurus	2774	67
primer_pair406_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2419	67
primer_pair406_amp_5	NC_011944.1_Thylacinus_cynocephalus	3346	67
primer_pair406_amp_6	NC_012920.1_Homo_sapiens	2980	67
primer_pair406_amp_7	NC_053523.1_Gallus_gallus	2476	67
primer_pair408_amp_1	KY996500.1_Wallabia_bicolor	2407	71
primer_pair408_amp_2	NC_000845.1_Sus_scrofa	3590	71
primer_pair408_amp_3	NC_006853.1_Bos_taurus	2774	71
primer_pair408_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2419	71
primer_pair408_amp_5	NC_011944.1_Thylacinus_cynocephalus	3346	71
primer_pair408_amp_6	NC_012920.1_Homo_sapiens	2980	71
primer_pair408_amp_7	NC_053523.1_Gallus_gallus	2476	71
primer_pair409_amp_1	KY996500.1_Wallabia_bicolor	2407	69
primer_pair409_amp_2	NC_000845.1_Sus_scrofa	3590	69
primer_pair409_amp_3	NC_006853.1_Bos_taurus	2774	69
primer_pair409_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2419	69
primer_pair409_amp_5	NC_011944.1_Thylacinus_cynocephalus	3346	69
primer_pair409_amp_6	NC_012920.1_Homo_sapiens	2980	69
primer_pair409_amp_7	NC_053523.1_Gallus_gallus	2476	69
primer_pair411_amp_1	KY996500.1_Wallabia_bicolor	2407	68
primer_pair411_amp_2	NC_000845.1_Sus_scrofa	3590	68
primer_pair411_amp_3	NC_006853.1_Bos_taurus	2774	68
primer_pair411_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2419	68
primer_pair411_amp_5	NC_011944.1_Thylacinus_cynocephalus	3346	68
primer_pair411_amp_6	NC_012920.1_Homo_sapiens	2980	68
primer_pair411_amp_7	NC_053523.1_Gallus_gallus	2476	68
primer_pair412_amp_1	KY996500.1_Wallabia_bicolor	2407	73
primer_pair412_amp_2	NC_000845.1_Sus_scrofa	3590	73
primer_pair412_amp_3	NC_006853.1_Bos_taurus	2774	73
primer_pair412_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2419	73
primer_pair412_amp_5	NC_011944.1_Thylacinus_cynocephalus	3346	73
primer_pair412_amp_6	NC_012920.1_Homo_sapiens	2980	73
primer_pair412_amp_7	NC_053523.1_Gallus_gallus	2476	73
primer_pair414_amp_1	KY996500.1_Wallabia_bicolor	2407	72
primer_pair414_amp_2	NC_000845.1_Sus_scrofa	3590	72
primer_pair414_amp_3	NC_006853.1_Bos_taurus	2774	72
primer_pair414_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2419	72
primer_pair414_amp_5	NC_011944.1_Thylacinus_cynocephalus	3346	72
primer_pair414_amp_6	NC_012920.1_Homo_sapiens	2980	72
primer_pair414_amp_7	NC_053523.1_Gallus_gallus	2476	72
primer_pair446_amp_1	KY996500.1_Wallabia_bicolor	2406	71
primer_pair446_amp_2	NC_000845.1_Sus_scrofa	3589	71
primer_pair446_amp_3	NC_006853.1_Bos_taurus	2773	71
primer_pair446_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2418	71
primer_pair446_amp_5	NC_011944.1_Thylacinus_cynocephalus	3345	71
primer_pair446_amp_6	NC_012920.1_Homo_sapiens	2979	71
primer_pair446_amp_7	NC_053523.1_Gallus_gallus	2475	71
primer_pair450_amp_1	KY996500.1_Wallabia_bicolor	2406	67
primer_pair450_amp_2	NC_000845.1_Sus_scrofa	3589	67
primer_pair450_amp_3	NC_006853.1_Bos_taurus	2773	67
primer_pair450_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2418	67
primer_pair450_amp_5	NC_011944.1_Thylacinus_cynocephalus	3345	67
primer_pair450_amp_6	NC_012920.1_Homo_sapiens	2979	67
primer_pair450_amp_7	NC_053523.1_Gallus_gallus	2475	67
primer_pair452_amp_1	KY996500.1_Wallabia_bicolor	2406	68
primer_pair452_amp_2	NC_000845.1_Sus_scrofa	3589	68
primer_pair452_amp_3	NC_006853.1_Bos_taurus	2773	68
primer_pair452_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2418	68
primer_pair452_amp_5	NC_011944.1_Thylacinus_cynocephalus	3345	68
primer_pair452_amp_6	NC_012920.1_Homo_sapiens	2979	68
primer_pair452_amp_7	NC_053523.1_Gallus_gallus	2475	68
primer_pair454_amp_1	KY996500.1_Wallabia_bicolor	2406	72
primer_pair454_amp_2	NC_000845.1_Sus_scrofa	3589	72
primer_pair454_amp_3	NC_006853.1_Bos_taurus	2773	72
primer_pair454_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2418	72
primer_pair454_amp_5	NC_011944.1_Thylacinus_cynocephalus	3345	72
primer_pair454_amp_6	NC_012920.1_Homo_sapiens	2979	72
primer_pair454_amp_7	NC_053523.1_Gallus_gallus	2475	72
primer_pair456_amp_1	KY996500.1_Wallabia_bicolor	2406	70
primer_pair456_amp_2	NC_000845.1_Sus_scrofa	3589	70
primer_pair456_amp_3	NC_006853.1_Bos_taurus	2773	70
primer_pair456_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2418	70
primer_pair456_amp_5	NC_011944.1_Thylacinus_cynocephalus	3345	70
primer_pair456_amp_6	NC_012920.1_Homo_sapiens	2979	70
primer_pair456_amp_7	NC_053523.1_Gallus_gallus	2475	70
primer_pair457_amp_1	KY996500.1_Wallabia_bicolor	2406	69
primer_pair457_amp_2	NC_000845.1_Sus_scrofa	3589	69
primer_pair457_amp_3	NC_006853.1_Bos_taurus	2773	69
primer_pair457_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2418	69
primer_pair457_amp_5	NC_011944.1_Thylacinus_cynocephalus	3345	69
primer_pair457_amp_6	NC_012920.1_Homo_sapiens	2979	69
primer_pair457_amp_7	NC_053523.1_Gallus_gallus	2475	69
primer_pair458_amp_1	KY996500.1_Wallabia_bicolor	2406	74
primer_pair458_amp_2	NC_000845.1_Sus_scrofa	3589	74
primer_pair458_amp_3	NC_006853.1_Bos_taurus	2773	74
primer_pair458_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2418	74
primer_pair458_amp_5	NC_011944.1_Thylacinus_cynocephalus	3345	74
primer_pair458_amp_6	NC_012920.1_Homo_sapiens	2979	74
primer_pair458_amp_7	NC_053523.1_Gallus_gallus	2475	74
primer_pair460_amp_1	KY996500.1_Wallabia_bicolor	2406	73
primer_pair460_amp_2	NC_000845.1_Sus_scrofa	3589	73
primer_pair460_amp_3	NC_006853.1_Bos_taurus	2773	73
primer_pair460_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2418	73
primer_pair460_amp_5	NC_011944.1_Thylacinus_cynocephalus	3345	73
primer_pair460_amp_6	NC_012920.1_Homo_sapiens	2979	73
primer_pair460_amp_7	NC_053523.1_Gallus_gallus	2475	73
primer_pair515_amp_1	KY996500.1_Wallabia_bicolor	2405	72
primer_pair515_amp_2	NC_000845.1_Sus_scrofa	3588	72
primer_pair515_amp_3	NC_006853.1_Bos_taurus	2772	72
primer_pair515_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2417	72
primer_pair515_amp_5	NC_011944.1_Thylacinus_cynocephalus	3344	72
primer_pair515_amp_6	NC_012920.1_Homo_sapiens	2978	72
primer_pair515_amp_7	NC_053523.1_Gallus_gallus	2474	72
primer_pair519_amp_1	KY996500.1_Wallabia_bicolor	2405	68
primer_pair519_amp_2	NC_000845.1_Sus_scrofa	3588	68
primer_pair519_amp_3	NC_006853.1_Bos_taurus	2772	68
primer_pair519_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2417	68
primer_pair519_amp_5	NC_011944.1_Thylacinus_cynocephalus	3344	68
primer_pair519_amp_6	NC_012920.1_Homo_sapiens	2978	68
primer_pair519_amp_7	NC_053523.1_Gallus_gallus	2474	68
primer_pair521_amp_1	KY996500.1_Wallabia_bicolor	2405	69
primer_pair521_amp_2	NC_000845.1_Sus_scrofa	3588	69
primer_pair521_amp_3	NC_006853.1_Bos_taurus	2772	69
primer_pair521_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2417	69
primer_pair521_amp_5	NC_011944.1_Thylacinus_cynocephalus	3344	69
primer_pair521_amp_6	NC_012920.1_Homo_sapiens	2978	69
primer_pair521_amp_7	NC_053523.1_Gallus_gallus	2474	69
primer_pair523_amp_1	KY996500.1_Wallabia_bicolor	2405	73
primer_pair523_amp_2	NC_000845.1_Sus_scrofa	3588	73
primer_pair523_amp_3	NC_006853.1_Bos_taurus	2772	73
primer_pair523_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2417	73
primer_pair523_amp_5	NC_011944.1_Thylacinus_cynocephalus	3344	73
primer_pair523_amp_6	NC_012920.1_Homo_sapiens	2978	73
primer_pair523_amp_7	NC_053523.1_Gallus_gallus	2474	73
primer_pair525_amp_1	KY996500.1_Wallabia_bicolor	2405	71
primer_pair525_amp_2	NC_000845.1_Sus_scrofa	3588	71
primer_pair525_amp_3	NC_006853.1_Bos_taurus	2772	71
primer_pair525_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2417	71
primer_pair525_amp_5	NC_011944.1_Thylacinus_cynocephalus	3344	71
primer_pair525_amp_6	NC_012920.1_Homo_sapiens	2978	71
primer_pair525_amp_7	NC_053523.1_Gallus_gallus	2474	71
primer_pair527_amp_1	KY996500.1_Wallabia_bicolor	2405	70
primer_pair527_amp_2	NC_000845.1_Sus_scrofa	3588	70
primer_pair527_amp_3	NC_006853.1_Bos_taurus	2772	70
primer_pair527_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2417	70
primer_pair527_amp_5	NC_011944.1_Thylacinus_cynocephalus	3344	70
primer_pair527_amp_6	NC_012920.1_Homo_sapiens	2978	70
primer_pair527_amp_7	NC_053523.1_Gallus_gallus	2474	70
primer_pair528_amp_1	KY996500.1_Wallabia_bicolor	2405	75
primer_pair528_amp_2	NC_000845.1_Sus_scrofa	3588	75
primer_pair528_amp_3	NC_006853.1_Bos_taurus	2772	75
primer_pair528_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2417	75
primer_pair528_amp_5	NC_011944.1_Thylacinus_cynocephalus	3344	75
primer_pair528_amp_6	NC_012920.1_Homo_sapiens	2978	75
primer_pair528_amp_7	NC_053523.1_Gallus_gallus	2474	75
primer_pair529_amp_1	KY996500.1_Wallabia_bicolor	2405	74
primer_pair529_amp_2	NC_000845.1_Sus_scrofa	3588	74
primer_pair529_amp_3	NC_006853.1_Bos_taurus	2772	74
primer_pair529_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2417	74
primer_pair529_amp_5	NC_011944.1_Thylacinus_cynocephalus	3344	74
primer_pair529_amp_6	NC_012920.1_Homo_sapiens	2978	74
primer_pair529_amp_7	NC_053523.1_Gallus_gallus	2474	74
